title	url	category	fileType	description	presentation	guideline
GE HealthCare suite	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Logo-Pack.zip	download	ZIP	Includes stacked and standard GE HealthCare logos for different layout needs, along with a logo legend PDF outlining usage guidelines, formats, and specifications.		
GE Santé suite	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GESant%C3%A9_Logo-Pack.zip	download	ZIP	Includes GE Santé logos for digital and print use cases, along with a logo legend PDF outlining usage guidelines, formats, and specifications.		
Channel Partner suite	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Channel-Partner_Logo-Pack.zip	download	ZIP	Includes GE HealthCare partner logos tailored for distributor, sales representative, and service provider use cases.		
Source Sans Pro	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Fonts_Source-Sans-Pro.zip	download	ZIP	Includes Source Sans Pro font files in multiple weights and styles, along with an OFL license file outlining usage and distribution terms.		
Source Hans Sans	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Fonts_Source-Han-Sans.zip	download	ZIP	Includes Source Han Sans font files with multiple formats and language support options, along with license, readme, and design guide documents outlining usage, specifications, and implementation guidance.		
Iconography suite (ppt)	/assets/assets/assets/brand-assets/brand-hub-assets/downloads/documents/gehealthcare-iconography-icon-pack.pptx	download	PPTX	Includes Ethos Design System (EDS) icons formatted for PowerPoint presentations, with guidance on usage and updates for consistent application.		
PowerPoint and Microsoft 365 suite	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Brand-Templates_M365-Pack.zip	download	ZIP	Includes GE HealthCare brand templates for Microsoft 365, including PowerPoint presentations, email signatures, Teams backgrounds, and email banners for consistent brand application across communications.		
Biography	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Brand-Templates_Biography-Card.zip	download	ZIP	Includes GE HealthCare biography card templates in ISO A4 and US Letter formats for consistent professional profiles and presentations.		
Policy document template	/assets/assets/assets/brand-assets/brand-hub-assets/downloads/documents/gehealthcare-brand-templates-policy-document-template.docx	download	DOCX	Includes GE HealthCare policy document templates for structured, on-brand documentation, supporting clear communication of policy content and supporting information.		
Core marketing collateral	https://assets.gehealthcare.com/api/gehc/assets?action=download&assetPath=/content/dam/assets/brand-assets/brand-hub-assets/downloads/documents/GEHealthCare_Core-Marketing-Content.zip	download	ZIP	Includes core GE HealthCare marketing content templates such as brochures, case studies, fact sheets, flyers, and white papers for consistent, on-brand communication.		
